,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
0,vs Arsenal,29,,46.2,38,418,3420,38.0,35,25,33,2,3,74,2,0.92,0.66,1.58,0.87,1.53,44.3,42.1,29.9,71.9,1.17,0.79,1.95,1.11,1.89
1,vs Aston Villa,24,,51.9,38,418,3420,38.0,45,30,40,5,6,73,7,1.18,0.79,1.97,1.05,1.84,52.9,48.4,32.7,81.1,1.39,0.86,2.25,1.27,2.13
2,vs Brighton,27,,48.7,38,418,3420,38.0,44,30,38,6,7,51,2,1.16,0.79,1.95,1.0,1.79,37.7,32.4,23.9,56.3,0.99,0.63,1.62,0.85,1.48
3,vs Burnley,25,,58.3,38,418,3420,38.0,54,47,51,3,3,32,2,1.42,1.24,2.66,1.34,2.58,57.6,55.4,43.6,99.0,1.52,1.15,2.66,1.46,2.6
4,vs Chelsea,27,,38.6,38,418,3420,38.0,35,26,32,3,4,56,3,0.92,0.68,1.61,0.84,1.53,32.8,29.8,22.0,51.8,0.86,0.58,1.44,0.78,1.36
5,vs Crystal Palace,24,,59.9,38,418,3420,38.0,66,47,63,3,4,44,4,1.74,1.24,2.97,1.66,2.89,57.5,54.4,39.8,94.2,1.51,1.05,2.56,1.43,2.48
6,vs Everton,29,,53.5,38,418,3420,38.0,47,33,44,3,4,66,1,1.24,0.87,2.11,1.16,2.03,52.0,48.9,33.5,82.5,1.37,0.88,2.25,1.29,2.17
7,vs Fulham,28,,50.1,38,418,3420,38.0,52,34,45,7,7,40,1,1.37,0.89,2.26,1.18,2.08,53.0,47.8,36.2,84.0,1.39,0.95,2.35,1.26,2.21
8,vs Leeds United,23,,42.4,38,418,3420,38.0,52,36,44,8,9,49,2,1.37,0.95,2.32,1.16,2.11,62.9,56.0,41.6,97.6,1.66,1.1,2.75,1.47,2.57
9,vs Leicester City,27,,45.4,38,418,3420,38.0,48,29,44,4,4,61,1,1.26,0.76,2.03,1.16,1.92,47.7,44.7,34.2,78.9,1.25,0.9,2.16,1.18,2.08
10,vs Liverpool,28,,37.6,38,418,3420,38.0,42,29,38,4,8,56,2,1.11,0.76,1.87,1.0,1.76,45.3,39.3,29.7,69.1,1.19,0.78,1.97,1.04,1.82
11,vs Manchester City,24,,36.1,38,418,3420,38.0,31,17,23,8,10,61,2,0.82,0.45,1.26,0.61,1.05,31.4,23.7,15.6,39.2,0.83,0.41,1.24,0.62,1.03
12,vs Manchester Utd,29,,44.2,38,418,3420,38.0,42,28,38,4,4,64,3,1.11,0.74,1.84,1.0,1.74,42.2,39.3,28.2,67.5,1.11,0.74,1.85,1.03,1.78
13,vs Newcastle Utd,27,,61.8,38,418,3420,38.0,59,41,55,4,5,60,3,1.55,1.08,2.63,1.45,2.53,54.0,50.2,37.9,88.1,1.42,1.0,2.42,1.32,2.32
14,vs Sheffield Utd,27,,58.5,38,418,3420,38.0,60,45,57,3,4,39,1,1.58,1.18,2.76,1.5,2.68,62.4,59.5,43.4,102.8,1.64,1.14,2.78,1.56,2.71
15,vs Southampton,29,,47.8,38,418,3420,38.0,67,44,59,8,9,58,3,1.76,1.16,2.92,1.55,2.71,54.2,47.4,36.3,83.7,1.43,0.95,2.38,1.25,2.2
16,vs Tottenham,24,,48.3,38,418,3420,38.0,42,24,32,10,10,77,1,1.11,0.63,1.74,0.84,1.47,49.5,41.9,33.0,75.0,1.3,0.87,2.17,1.1,1.97
17,vs West Brom,30,,62.4,38,418,3420,38.0,73,52,66,7,11,50,1,1.92,1.37,3.29,1.74,3.11,67.7,59.4,44.1,103.5,1.78,1.16,2.94,1.56,2.72
18,vs West Ham,24,,57.1,38,418,3420,38.0,43,34,40,3,5,52,1,1.13,0.89,2.03,1.05,1.95,48.3,44.5,35.3,79.8,1.27,0.93,2.2,1.17,2.1
19,vs Wolves,27,,50.7,38,418,3420,38.0,49,34,42,7,8,62,6,1.29,0.89,2.18,1.11,2.0,45.9,39.8,30.2,70.0,1.21,0.8,2.0,1.05,1.84
